issue_id,repo,title,body,text
7045,requests/requests,about connection release when maintaining sessions,"while using the requests library for http requests, i noticed that there were many tcp connections in the fin wait2 state on the server. through code analysis, i found that these connections originated from the connection pool created by the underlying urllib3 library used by the requests library. the application needs to provide services at any time, so it created a session object that is reused throughout the entire process lifecycle, and it does not actively call the method before the process ends. after reading the source code, i discovered that the requests library only retrieves a connection from the connection pool when making a new http request. it checks whether the connection is available, and if not, it immediately closes the connection and creates a new one. after receiving an http response, the connection is returned to the connection pool. these connections remain idle until the next request arrives. is this the actual situation? if so, then when the server actively closes the connection by sending a fin packet at the tcp protocol layer , the requests library does not detect this state change it does not have a daemon thread continuously checking the connection status . as a result, the server sees many connections in the fin wait2 state that have been open for a long time. what is the rationale behind this design? thank you very much!","about connection release when maintaining sessions while using the requests library for http requests, i noticed that there were many tcp connections in the fin wait2 state on the server. through code analysis, i found that these connections originated from the connection pool created by the underlying urllib3 library used by the requests library. the application needs to provide services at any time, so it created a session object that is reused throughout the entire process lifecycle, and it does not actively call the method before the process ends. after reading the source code, i discovered that the requests library only retrieves a connection from the connection pool when making a new http request. it checks whether the connection is available, and if not, it immediately closes the connection and creates a new one. after receiving an http response, the connection is returned to the connection pool. these connections remain idle until the next request arrives. is this the actual situation? if so, then when the server actively closes the connection by sending a fin packet at the tcp protocol layer , the requests library does not detect this state change it does not have a daemon thread continuously checking the connection status . as a result, the server sees many connections in the fin wait2 state that have been open for a long time. what is the rationale behind this design? thank you very much!"
6807,requests/requests,what is the point of this line?,,what is the point of this line?
7039,requests/requests,type hint needed,"type hint helps to write better code, but in requests there's basically none","type hint needed type hint helps to write better code, but in requests there's basically none"
6647,requests/requests,wrong ca certificates used in requests.session.send,"bug in requests.sessions.py: session.merge environment settings is called in session.request and not in session.send which means if users want to build their own prepared requests see example below , the correct certificates file will not be used unless explicitly passed to send. i believe these environment settings should be updated in session.send instead. reproduction steps expected result no output actual result system information $ python -m requests.help","wrong ca certificates used in requests.session.send bug in requests.sessions.py: session.merge environment settings is called in session.request and not in session.send which means if users want to build their own prepared requests see example below , the correct certificates file will not be used unless explicitly passed to send. i believe these environment settings should be updated in session.send instead. reproduction steps expected result no output actual result system information $ python -m requests.help"
6730,requests/requests,certificate loading regression with httpadapters in 2.32.3,"!-- summary. -- it appears that in version default certificates are no longer loaded for custom contexts when they were previously. i guess this might be a duplicate/related to also related to - adding resolves the issue, but this wasn't required in previous versions and thus makes upgrading to breaking. expected result !-- what you expected. -- with the code below using version i get the url content with no error. actual result !-- what happened instead. -- using i get: reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --","certificate loading regression with httpadapters in 2.32.3 !-- summary. -- it appears that in version default certificates are no longer loaded for custom contexts when they were previously. i guess this might be a duplicate/related to also related to - adding resolves the issue, but this wasn't required in previous versions and thus makes upgrading to breaking. expected result !-- what you expected. -- with the code below using version i get the url content with no error. actual result !-- what happened instead. -- using i get: reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --"
6794,requests/requests,requests changes the url on get,"when fetching a url containing with get, the url gets modified and is replaced by . the problem with this is that the server may return a 404 when using even if the resource exists when looking for it using i.e.: the server is expecting you to honor the lower-case encoding . this should not be the case since url percent-encoding is case insensitive but actual servers may not comply with that and require you to use lower case. this comes from a real use case where the server is generating and providing a url to download a file, and refuses to reply with the file unless is used instead of . expected result requests should not modify the url, since is already encoded and lower-case is just as valid encoding as upper-case . this expected behavior can be found when using other libraries like . actual result requests modifies the url, changing to . reproduction steps system information $ python -m requests.help","requests changes the url on get when fetching a url containing with get, the url gets modified and is replaced by . the problem with this is that the server may return a 404 when using even if the resource exists when looking for it using i.e.: the server is expecting you to honor the lower-case encoding . this should not be the case since url percent-encoding is case insensitive but actual servers may not comply with that and require you to use lower case. this comes from a real use case where the server is generating and providing a url to download a file, and refuses to reply with the file unless is used instead of . expected result requests should not modify the url, since is already encoded and lower-case is just as valid encoding as upper-case . this expected behavior can be found when using other libraries like . actual result requests modifies the url, changing to . reproduction steps system information $ python -m requests.help"
7031,requests/requests,"ai bug analysis: readtimeout exception httpsconnectionpool host='domain.com', port=443 : read timed out. read timeout=10","🤖 bug report original error: --- 🔬 root cause analysis the error message you're encountering, , indicates that a request made to on port 443 did not receive a response within the specified timeout period, which in this case is 10 seconds. this timeout setting dictates how long the client will wait for a server to send a response before giving up and raising an error. based on the provided code context, which involves tests using the library to make http requests, there are a few potential root causes for this issue: 1. server response delay: the server at might be taking too long to respond to requests. this could be due to server-side processing delays, heavy load on the server, or network latency issues. the server's response time exceeds the specified timeout of 10 seconds, leading to a exception. 2. network issues: there could be network connectivity issues between the client the machine running the test code and the server . this includes low bandwidth, high latency, or intermittent connectivity that results in requests taking longer than expected to complete. 3. timeout configuration: a timeout of 10 seconds might be too short for the request to complete successfully, especially if the request is complex, the server is intentionally delaying responses e.g., for rate limiting , or if there are known network delays. 4. test server configuration: the code snippets provided indicate the use of a for testing purposes, with various configurations including expired and valid certificates. if the error is occurring during these tests, it's possible that the test server setup e.g., is not correctly handling requests or is intentionally slow to respond as part of the test scenario. however, the error message specifically mentions , which suggests the issue is more likely related to an actual network request rather than the local test server setup. 5. client configuration: the client configuration, particularly the session and request setup in the library, might be contributing to the issue. for example, if the client is not correctly handling http keep-alive connections or if there's an issue with the way requests are being sent e.g., large payloads, incorrect headers , it could lead to delays and timeouts. to address this issue, consider the following steps: - increase the timeout: temporarily increase the timeout value to see if the request eventually succeeds. this can help determine if the timeout is simply too short for the given operation. - server investigation: check the server's health, load, and response times to see if there are any issues that could be causing delays. - network diagnostics: run network diagnostics to check for any connectivity issues between the client and the server. - review test configuration: if the issue is occurring during testing with , review the server setup and ensure it's designed to respond in a timely manner. - client request review: examine the client request configuration for any potential issues that could be optimized to prevent timeouts. in summary, the exception is typically a symptom of the client not receiving a response from the server within the specified timeout period. identifying the root cause requires investigating server response times, network connectivity, timeout settings, and both client and server configurations. --- 🛠️ suggested fix given the root cause analysis, the primary issue seems to be related to the timeout setting being too short for the request to complete successfully under certain conditions. to address this, we can adjust the timeout settings in the library usage within the provided test cases. this involves modifying the method calls to include a longer timeout period. here's a code snippet that demonstrates how to adjust the timeout setting: explanation of the fix: - timeout adjustment: the key change in this snippet is the inclusion of the parameter in the method calls. this increases the timeout duration from the default 10 seconds to 30 seconds, providing additional time for the server to respond before a exception is raised. - why increase the timeout?: based on the root cause analysis, the server might need more time to process requests under certain conditions e.g., high load, complex operations, network latency . increasing the timeout gives the server a reasonable buffer to complete the request and respond. - impact of the change: this change should reduce or eliminate the occurrence of exceptions under normal operating conditions by allowing more time for requests to complete. however, it's important to monitor the impact of this change, as significantly increasing timeouts could lead to longer waits in scenarios where a server or network issue prevents a response. - general recommendation: always consider the specific context and requirements of your application when adjusting timeout settings. while increasing the timeout can solve immediate timeout issues, it's also crucial to investigate and address the underlying causes of delayed responses e.g., server performance, network configuration .","ai bug analysis: readtimeout exception httpsconnectionpool host='domain.com', port=443 : read timed out. read timeout=10 🤖 bug report original error: --- 🔬 root cause analysis the error message you're encountering, , indicates that a request made to on port 443 did not receive a response within the specified timeout period, which in this case is 10 seconds. this timeout setting dictates how long the client will wait for a server to send a response before giving up and raising an error. based on the provided code context, which involves tests using the library to make http requests, there are a few potential root causes for this issue: 1. server response delay: the server at might be taking too long to respond to requests. this could be due to server-side processing delays, heavy load on the server, or network latency issues. the server's response time exceeds the specified timeout of 10 seconds, leading to a exception. 2. network issues: there could be network connectivity issues between the client the machine running the test code and the server . this includes low bandwidth, high latency, or intermittent connectivity that results in requests taking longer than expected to complete. 3. timeout configuration: a timeout of 10 seconds might be too short for the request to complete successfully, especially if the request is complex, the server is intentionally delaying responses e.g., for rate limiting , or if there are known network delays. 4. test server configuration: the code snippets provided indicate the use of a for testing purposes, with various configurations including expired and valid certificates. if the error is occurring during these tests, it's possible that the test server setup e.g., is not correctly handling requests or is intentionally slow to respond as part of the test scenario. however, the error message specifically mentions , which suggests the issue is more likely related to an actual network request rather than the local test server setup. 5. client configuration: the client configuration, particularly the session and request setup in the library, might be contributing to the issue. for example, if the client is not correctly handling http keep-alive connections or if there's an issue with the way requests are being sent e.g., large payloads, incorrect headers , it could lead to delays and timeouts. to address this issue, consider the following steps: - increase the timeout: temporarily increase the timeout value to see if the request eventually succeeds. this can help determine if the timeout is simply too short for the given operation. - server investigation: check the server's health, load, and response times to see if there are any issues that could be causing delays. - network diagnostics: run network diagnostics to check for any connectivity issues between the client and the server. - review test configuration: if the issue is occurring during testing with , review the server setup and ensure it's designed to respond in a timely manner. - client request review: examine the client request configuration for any potential issues that could be optimized to prevent timeouts. in summary, the exception is typically a symptom of the client not receiving a response from the server within the specified timeout period. identifying the root cause requires investigating server response times, network connectivity, timeout settings, and both client and server configurations. --- 🛠️ suggested fix given the root cause analysis, the primary issue seems to be related to the timeout setting being too short for the request to complete successfully under certain conditions. to address this, we can adjust the timeout settings in the library usage within the provided test cases. this involves modifying the method calls to include a longer timeout period. here's a code snippet that demonstrates how to adjust the timeout setting: explanation of the fix: - timeout adjustment: the key change in this snippet is the inclusion of the parameter in the method calls. this increases the timeout duration from the default 10 seconds to 30 seconds, providing additional time for the server to respond before a exception is raised. - why increase the timeout?: based on the root cause analysis, the server might need more time to process requests under certain conditions e.g., high load, complex operations, network latency . increasing the timeout gives the server a reasonable buffer to complete the request and respond. - impact of the change: this change should reduce or eliminate the occurrence of exceptions under normal operating conditions by allowing more time for requests to complete. however, it's important to monitor the impact of this change, as significantly increasing timeouts could lead to longer waits in scenarios where a server or network issue prevents a response. - general recommendation: always consider the specific context and requirements of your application when adjusting timeout settings. while increasing the timeout can solve immediate timeout issues, it's also crucial to investigate and address the underlying causes of delayed responses e.g., server performance, network configuration ."
7029,requests/requests,"one request fails, but others don't; it also succeeds in terminal","i checked a lot of trouble-shoot topics, but didn't find what might be wrong here... i'm going off this api documentation: this code: ... results in this output: but when i make that http request to in powershell, the response is ...: -method ""put"" -headers @ ""accept""=""application/json"" ""authorization""=""bearer mytoken "" -body "" "":1 "" statuscode : 200 statusdescription : ok content : ""id"":1,""type"":""three day"" rawcontent : http/1.1 200 ok date: fri, 12 sep 2025 17:57:29 gmt transfer-encoding: chunked connection: keep-alive vary: origin vary: access-control-request-method vary: access-control-request-headers vary:… headers : date, system.string , transfer-encoding, system.string , connection, system.string , vary, system.string … images : inputfields : links : rawcontentlength : 27 relationlink : ` could someone guide me to a solution? thanks in advance! ps obviously, myzone and mytoken are placeholders for privacy reasons.","one request fails, but others don't; it also succeeds in terminal i checked a lot of trouble-shoot topics, but didn't find what might be wrong here... i'm going off this api documentation: this code: ... results in this output: but when i make that http request to in powershell, the response is ...: -method ""put"" -headers @ ""accept""=""application/json"" ""authorization""=""bearer mytoken "" -body "" "":1 "" statuscode : 200 statusdescription : ok content : ""id"":1,""type"":""three day"" rawcontent : http/1.1 200 ok date: fri, 12 sep 2025 17:57:29 gmt transfer-encoding: chunked connection: keep-alive vary: origin vary: access-control-request-method vary: access-control-request-headers vary:… headers : date, system.string , transfer-encoding, system.string , connection, system.string , vary, system.string … images : inputfields : links : rawcontentlength : 27 relationlink : ` could someone guide me to a solution? thanks in advance! ps obviously, myzone and mytoken are placeholders for privacy reasons."
7028,requests/requests,tor request,"hello, does requests allow you to make requests on tor urls, urls in .onnion, or is this project not suitable?","tor request hello, does requests allow you to make requests on tor urls, urls in .onnion, or is this project not suitable?"
7027,requests/requests,@ziavai777,@ziavai777 originally posted by @ziavai777 in,@ziavai777 @ziavai777 originally posted by @ziavai777 in
6751,requests/requests,requests 2.31.0 - unhashable type 'list' for 'cert' parameter,"subject the requests.get parameter used to accept 'cert' as a tuple or list, and this may be a regression from 1165 environment all steps to reproduce expected behavior from requests == 2.31.0:","requests 2.31.0 - unhashable type 'list' for 'cert' parameter subject the requests.get parameter used to accept 'cert' as a tuple or list, and this may be a regression from 1165 environment all steps to reproduce expected behavior from requests == 2.31.0:"
7022,requests/requests,create db.py,"!-- summary. -- expected result !-- what you expected. -- actual result !-- what happened instead. -- reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --","create db.py !-- summary. -- expected result !-- what you expected. -- actual result !-- what happened instead. -- reproduction steps system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --"
6800,requests/requests,attributeerror: 'request' object has no attribute 'authorize',"there seems to be a call to request.authorize. shouldn't that be request.auth? error system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --","attributeerror: 'request' object has no attribute 'authorize' there seems to be a call to request.authorize. shouldn't that be request.auth? error system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --"
6699,requests/requests,attributeerror: 'nonetype' object has no attribute 'setdefault' on environment proxies,"attributeerror: 'nonetype' object has no attribute 'setdefault' on environment proxies it appears there is a small bug in ‎ where the proxies variable can be but setdefault is called on it anyway when env proxies are present, causing an attributeerror to be thrown:","attributeerror: 'nonetype' object has no attribute 'setdefault' on environment proxies attributeerror: 'nonetype' object has no attribute 'setdefault' on environment proxies it appears there is a small bug in ‎ where the proxies variable can be but setdefault is called on it anyway when env proxies are present, causing an attributeerror to be thrown:"
6542,requests/requests,cookies with are not sent for via unencrypted,"see the title, cookies are not sent in requests to if those requests are not encrypted. there should probably be an exception for as there is in browsers, as well to aid in developing servers. expected result the cookies should be sent with the request. actual result they aren't. reproduction steps and running the flask app with and then running the requests with throws an exception in , while in a browser the page does show ""logged in"" after visiting . system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --","cookies with are not sent for via unencrypted see the title, cookies are not sent in requests to if those requests are not encrypted. there should probably be an exception for as there is in browsers, as well to aid in developing servers. expected result the cookies should be sent with the request. actual result they aren't. reproduction steps and running the flask app with and then running the requests with throws an exception in , while in a browser the page does show ""logged in"" after visiting . system information $ python -m requests.help !-- this command is only available on requests v2.16.4 and greater. otherwise, please provide some basic information about your system python version, operating system, &c . --"
7024,requests/requests,about request.session,"hi, i have a special scenarios that there is a process called a continuously produces data while a process called b post the data to a url, the following is a fragment of process b pseudocode: the loop above is expected to continue even if an exception occurs, so the question is: if something wrong causes session invalid, does it throw exceptions ？ if so, how to handle it so the loop continues ?","about request.session hi, i have a special scenarios that there is a process called a continuously produces data while a process called b post the data to a url, the following is a fragment of process b pseudocode: the loop above is expected to continue even if an exception occurs, so the question is: if something wrong causes session invalid, does it throw exceptions ？ if so, how to handle it so the loop continues ?"
